date,emp_cons,fed_funds,GDP,houses_supply,income,lab_force,median_CPI,population,PPI_cement,PPI_concrete,unemployment,HPI
2003-08-01,6760,1.03,11566.669,3.5,9538.8,66.1,2.357414269,290974,150.6,154.4,6.1,135.966
2003-09-01,6783,1.01,11566.669,3.8,9582.5,66.1,2.022265145,291222,150.2,154.4,6.1,137.076
2003-10-01,6784,1.01,11772.234,3.8,9620.4,66.1,2.095867494,291463,149.6,154.4,6,137.975
2003-11-01,6796,1,11772.234,4.1,9688.2,66.1,1.186362412,291677,149.5,154.4,5.8,138.765
2003-12-01,6827,0.98,11772.234,4,9713.2,65.9,1.798822339,291868,149.4,154.4,5.7,139.627
2004-01-01,6848,1,11923.447,3.8,9731.8,66.1,2.220074706,292046,149.4,154.4,5.7,140.705
2004-02-01,6838,1.01,11923.447,3.7,9765.4,66,2.912654553,292230,149.5,154.4,5.6,142.029
2004-03-01,6887,1,11923.447,3.6,9815.8,66,2.734402268,292434,150.2,154.4,5.8,144.08
2004-04-01,6901,1,12112.815,4,9865.8,65.9,2.538381927,292651,152.1,155.6,5.6,146.18
2004-05-01,6948,1,12112.815,3.8,9950,66,3.217494891,292872,153.6,155.6,5.6,148.335
2004-06-01,6962,1.03,12112.815,3.9,9988.4,66.1,2.724931449,293103,153.9,155.6,5.6,150.518
2004-07-01,6977,1.26,12305.307,4.5,10033,66.1,1.77113696,293350,154.4,155.6,5.5,152.337
2004-08-01,7003,1.43,12305.307,4.3,10078.2,66,2.873237452,293603,157.7,155.6,5.4,153.814
2004-09-01,7029,1.61,12305.307,4.1,10110.5,65.8,2.146634995,293857,160.4,155.6,5.4,155.108
2004-10-01,7077,1.76,12527.214,3.9,10159.3,65.9,2.660501094,294104,160.4,155.6,5.5,156.298
2004-11-01,7091,1.93,12527.214,4.3,10171.5,66,1.480066306,294337,161.4,155.6,5.4,157.496
2004-12-01,7117,2.16,12527.214,4.1,10520.8,65.9,1.915249726,294561,161.5,155.6,5.4,158.67
2005-01-01,7095,2.28,12767.286,4.4,10247,65.8,3.421759136,294768,166.8,156,5.3,160.13
2005-02-01,7153,2.5,12767.286,4.3,10282.7,65.9,3.304002291,294955,168.8,161.6,5.4,161.924
2005-03-01,7181,2.63,12767.286,4.1,10347.9,65.9,1.897179395,295149,169,159.2,5.2,164.576
2005-04-01,7266,2.79,12922.656,4.3,10412.1,66.1,2.096479013,295359,171.8,163.2,5.2,166.999
2005-05-01,7294,3,12922.656,4.2,10464.1,66.1,3.168462352,295582,172.2,163.2,5.1,169.544
2005-06-01,7333,3.04,12922.656,4.3,10498,66.1,1.624775389,295824,172.5,163.2,5,172.015
2005-07-01,7353,3.26,13142.642,4.2,10558.3,66.1,3.028645573,296077,179,163.2,5,174.098
2005-08-01,7394,3.5,13142.642,4.5,10619.6,66.2,2.222156203,296338,179.2,163.2,4.9,175.923
2005-09-01,7415,3.62,13142.642,4.7,10687.7,66.1,4.024707241,296606,180.2,163.2,5,177.611
2005-10-01,7460,3.78,13324.204,4.5,10767.3,66.1,3.331575156,296857,180.3,163.2,5,178.752
2005-11-01,7524,4,13324.204,5,10815.4,66,2.836911948,297089,180.6,163.2,5,179.673
2005-12-01,7533,4.16,13324.204,4.9,10853.1,66,2.204893199,297311,181.3,163.3,4.9,180.107
2006-01-01,7601,4.29,13599.16,5.3,11038.6,66,2.884321866,297526,191,167.4,4.7,180.828
2006-02-01,7664,4.49,13599.16,6.1,11102.6,66.1,2.072020874,297734,191.5,168.9,4.8,181.5
2006-03-01,7689,4.59,13599.16,5.9,11171.8,66.2,3.082182514,297950,195.3,168.9,4.7,182.749
2006-04-01,7726,4.79,13753.424,6.3,11229.5,66.1,2.887031617,298170,196.7,169.4,4.7,183.648
